phase_id,cycle,phase,date_start,date_end,op_abertura_institucional,op_divisao_elites,op_aliados_influentes,op_crise_legitimidade,op_repressao,traducao_institucional,od_visibilidade_midia,od_ressonancia_discursiva,od_legitimidade_narrativa
DJ-0,diretas_ja,articulacao,1982-11-15,1983-02-28,1,1,1,1,2,0,1,1,1
DJ-1,diretas_ja,emergencia,1983-03-01,1983-12-31,1,1,1,2,2,0,1,2,2
DJ-2,diretas_ja,expansao,1984-01-01,1984-03-31,1,2,2,2,1,0,2,3,3
DJ-3,diretas_ja,pico,1984-04-01,1984-04-30,1,3,3,3,1,0,3,3,3
DJ-4,diretas_ja,declinio,1984-05-01,1984-12-31,1,3,2,2,1,1,2,2,2
DJ-5,diretas_ja,desfecho,1985-01-01,1985-03-31,2,3,3,2,0,2,2,2,2
FC-0,fora_collor,articulacao,1991-11-01,1992-05-31,2,1,1,2,0,0,1,1,1
FC-1,fora_collor,emergencia,1992-06-01,1992-07-31,2,2,1,2,0,0,2,1,2
FC-2,fora_collor,expansao,1992-08-01,1992-08-15,3,3,2,3,0,1,3,2,3
FC-3,fora_collor,pico,1992-08-16,1992-09-29,3,3,3,3,0,2,3,3,3
FC-4,fora_collor,declinio,1992-09-30,1992-12-28,3,2,2,2,0,3,2,2,2
FC-5,fora_collor,desfecho,1992-12-29,1992-12-31,3,1,2,1,0,3,2,1,2
J13-1,junho_2013,emergencia,2013-06-06,2013-06-12,2,1,0,1,3,0,1,1,1
J13-2,junho_2013,expansao,2013-06-13,2013-06-17,2,1,1,2,3,0,3,2,2
J13-3,junho_2013,pico,2013-06-18,2013-06-20,2,2,1,3,2,2,3,3,3
J13-3b,junho_2013,radicalizacao,2013-06-21,2013-07-31,2,2,1,3,3,1,2,1,1
J13-4,junho_2013,declinio,2013-08-01,2013-10-31,2,2,1,2,2,1,2,2,2
J13-5,junho_2013,desfecho,2013-11-01,2013-12-31,2,2,1,2,1,1,1,1,1
ID-0,impeachment_dilma,articulacao,2014-10-27,2015-03-14,2,1,1,1,0,0,2,1,1
ID-1,impeachment_dilma,emergencia,2015-03-15,2015-08-16,2,3,2,3,0,0,3,2,2
ID-2,impeachment_dilma,latencia,2015-08-17,2015-12-01,2,3,2,3,0,0,2,2,2
ID-3,impeachment_dilma,pico,2015-12-02,2016-04-17,3,3,3,3,0,1,3,3,3
ID-4,impeachment_dilma,declinio,2016-04-18,2016-08-30,3,2,2,2,0,2,2,2,2
ID-5,impeachment_dilma,desfecho,2016-08-31,2016-09-30,3,1,2,1,0,3,2,1,1
