id,country,ccode,year,region,protest,protestnumber,startday,startmonth,startyear,endday,endmonth,endyear,protesterviolence,location,participants_category,participants,protesteridentity,protesterdemand1,protesterdemand2,protesterdemand3,protesterdemand4,stateresponse1,stateresponse2,stateresponse3,stateresponse4,stateresponse5,stateresponse6,stateresponse7,sources,notes
1401990001,Brazil,140,1990,South America,1,1,14,5,1990,14,5,1990,0,the suburbs of rio de janeiro,,3000,steel workers,"political behavior, process",,,,ignore,,,,,,,"xinhua general news service, may 15, 1990, tuesday, brazilian steel workers end take over of plant ;",12 hour take over protesting the firing of employees and the privatization of the company
1401990002,Brazil,140,1990,South America,1,2,1,6,1990,8,6,1990,0,national level,,150000,port workers,labor wage dispute,,,,accomodation,,,,,,,"the globe and mail canada , june 2, 1990 saturday, strikes cripple ports in brazil ; xinhua general news service, june 9, 1990, saturday, latin american news briefs ;",general strike
1401990003,Brazil,140,1990,South America,1,3,12,6,1990,12,6,1990,0,Sao Paulo,,100000,sao paulo workers,"political behavior, process",,,,ignore,,,,,,,"xinhua general news service, june 13, 1990, wednesday, latin american news briefs ;",general strike
1401990004,Brazil,140,1990,South America,1,4,14,6,1990,16,6,1990,0,Sao Paulo and in other cities,,40000,oil workers petroleum state owned company,"political behavior, process",,,,ignore,,,,,,,"xinhua general news service, june 15, 1990, friday, latin american news in brief ; xinhua general news service, june 16, 1990, saturday, brazil: oil strike causes one million dollar loss a day ;",strike protesting the government s plan to dismiss thousands of public employees in budget cuts
1401990005,Brazil,140,1990,South America,1,5,13,9,1990,13,9,1990,0,Ibirapuera Park   Sao Paulo,,2000,children and adults,"political behavior, process",,,,ignore,,,,,,,"christian science monitor, october 29, 1990, monday, ideas; pg. 13, brazilians mobilize to save a dirty river ;",protesting river pollution
1401991001,Brazil,140,1991,South America,1,1,26,2,1991,28,2,1991,0,national level,,50,oil workers,labor wage dispute,,,,ignore,,,,,,,"xinhua general news service, xinhua general news service, strike causes drop of brazil s oil output ;",general strike
1401991002,Brazil,140,1991,South America,1,2,21,5,1991,22,5,1991,0,national level,,100000,"subway workers, bus drivers, teachers, public health workers, and bank clerks","political behavior, process",,,,ignore,,,,,,,"agence france presse, may 21, 1991, econews, strikes paralyze subsways in sao paolo, rio ; the associated press, may 22, 1991, wednesday, international news, general strike flops in brazil ;",general strike to protest economic policies
1401991003,Brazil,140,1991,South America,1,3,7,6,1991,8,6,1991,0,"ports of rio, angra de los reis, sepetiba, niteroi and arraial del cabo",,4500,port workers,labor wage dispute,,,,ignore,,,,,,,"xinhua general news service, june 8, 1991, saturday, brazilian ports paralyzed by strike ;",strike
1401991004,Brazil,140,1991,South America,1,4,4,9,1991,4,9,1991,0,national level,,1000,oil workers,labor wage dispute,,,,ignore,,,,,,,"the associated press, september 4, 1991, wednesday, business news, brazil oil workers stage one day strike; talks set for friday ;",general strike
1401991005,Brazil,140,1991,South America,1,5,11,9,1991,23,9,1991,0,national level,,55000,oil workers,labor wage dispute,,,,accomodation,,,,,,,"the associated press, september 11, 1991, wednesday, business news, brazilian oil workers strike ; the associated press, september 23, 1991, monday, business news, unions end oil strike in brazil ;",general strike
1401991006,Brazil,140,1991,South America,1,6,24,10,1991,24,10,1991,1,Rio de Janeiro,,50,brazilians,"political behavior, process",,,,crowd dispersal,,,,,,,"bbc summary of world broadcasts, october 26, 1991, saturday, part 4 the middle east, africa and latin america, brazil demonstrators protesting against privatisation clash with police ;",protests against privatization
1401991007,Brazil,140,1991,South America,1,7,28,11,1991,28,11,1991,0,downtown Rio,,6000,raggedy street kids,"political behavior, process",,,,ignore,,,,,,,"the associated press, november 28, 1991, thursday, international news, brazilian street kids march to protest killings ;",protesting systematic murder of poor children
1401992001,Brazil,140,1992,South America,1,1,25,8,1992,25,8,1992,0,sao paulo and in other 24 cities,,100000,brazilians,removal of politician,,,,ignore,,,,,,,"xinhua general news service, august 25, 1992, tuesday, brazilian students demand immediate ousting of president ; the new york times, august 26, 1992, wednesday, section a; page 9; column 1; foreign desk, brazilians in 25 cities demand ouster;",against president s involvement in corruption
1401992002,Brazil,140,1992,South America,1,2,2,9,1992,2,9,1992,0,Congress building   Rio de Janeiro,,100,brazilians,removal of politician,,,,ignore,,,,,,,"the washington post, september 2, 1992, wednesday, first section; page a27; around the world, protesters seek collor s ouster ;",invading the congress
1401992003,Brazil,140,1992,South America,1,3,15,9,1992,15,9,1992,0,"several cities  Rio de Janeiro, Parana, Maceio",,10000,brazilians,removal of politician,,,,ignore,,,,,,,"agence france presse, september 16, 1992, domestic news, brazilians take to streets demanding collor s impeachment ;","thousands of brazilians in several cities took to the streets tuesday to demand that president fernando collor de mello be impeached on corruption charges as lawmakers continued undecided on the move...police estimated the number of demonstrators at around 10,000, while the organizers put it at more than 50,000."
1401992004,Brazil,140,1992,South America,1,4,18,9,1992,18,9,1992,0,Sao Paulo,,750000,brazilians,removal of politician,,,,ignore,,,,,,,"the new york times, september 20, 1992, sunday, section 1; page 16; column 4; foreign desk, huge rally demands brazil chief s impeachment ;","in the largest demonstration in brazil s history, 750,000 people braved a rainstorm friday night to demand the impeachment of president fernando collor de mello. impeachment now! the huge crowd roared rythmically, sending their protest chants echoing through the skyscraper and neon canyons of brazil s financial heartland here. on the speakers platform, including five state governors, politicians of all stripes agreed in interviews that the moment for president collor to negotiate a resignation had passed. you can t negotiate a pardon for a man who stole millions, said luis inacio da silva, president of the workers party."
1401993001,Brazil,140,1993,South America,1,1,27,1,1993,3,2,1993,0,national level  all ports,,50000,dockworkers,"political behavior, process",,,,accomodation,,,,,,,"agence france presse, february 3, 1993, financial, brazilian dockers suspend strike ;",general strike
1401993002,Brazil,140,1993,South America,1,2,22,3,1993,22,3,1993,0,rail line between the iron ore mine of Carajas in the Amazon rain forest with Sao Luis,,50,indians,"political behavior, process",,,,ignore,,,,,,,"the new york times, march 23, 1993, tuesday, section a; page 8; column 6; foreign desk, indians block brazil railroad ;",blocking the carajas railway
1401993003,Brazil,140,1993,South America,1,3,7,11,1993,7,11,1993,0,Rio de Janeiro  marching in the city,,1000,brazilians,"political behavior, process",,,,ignore,,,,,,,"agence france presse, november 7, 1993, news, brazilians march to protest new corruption scandal ;",protesting a corruption scandal
1401994001,Brazil,140,1994,South America,1,1,2,3,1994,2,3,1994,0,"Sao Paulo, Guarulhos and Osasco",,1000,metal workers,"political behavior, process",,,,ignore,,,,,,,"agence france presse, march 02, 1994, domestic, non washington, general news item, metal workers launch strike against new economic plan ;",strike to protest brazil s new economic plan
1401994002,Brazil,140,1994,South America,1,2,20,12,1994,20,12,1994,0,town of Montes Altos,,10000,farmers,"political behavior, process",,,,ignore,,,,,,,"the new york times, december 21, 1994, wednesday, section a; page 3; column 1; foreign desk, farmers protest in brazil ;",taking three police officers hostage
1401995001,Brazil,140,1995,South America,1,1,22,3,1995,22,3,1995,0,the national congress and the presidential palace   Brasilia,,10000,brazilians,"political behavior, process",,,,ignore,,,,,,,"xinhua news agency, march 22, 1995, wednesday, brazilians protest against constitutional amendments ;",protests against constitutional amendments proposed by the government
1401995002,Brazil,140,1995,South America,1,2,2,5,1995,3,6,1995,0,national level,,1000,oil workers,"political behavior, process",,,,crowd dispersal,,,,,,,"bbc summary of world broadcasts, may 15, 1995, monday, source: globo tv, rio de janeiro, oil workers threaten mass resignation ; agence france presse, may 24, 1995, international news, army occupies strike paralyzed refineries in brazil ; age;","strike, government sent troops to refineries to stop the strike, in the end of the process government decided to privatize all of the state owned oil companies"
1401995003,Brazil,140,1995,South America,1,3,3,5,1995,3,5,1995,0,national level,,10000,"federal public servants and state run company employees, oil and electric power sector workers, university professors and employees, and health and telecommunications sector workers","political behavior, process",,,,ignore,,,,,,,"bbc summary of world broadcasts, may 5, 1995, friday, source: globo tv, rio de janeiro, workers strike over constitutional reform; minister says strikers will be sacked ;",general strike
1401995004,Brazil,140,1995,South America,1,4,20,5,1995,20,5,1995,0,Xingo,,300,union and opposition party protestors,"political behavior, process",,,,ignore,,,,,,,"agence france presse, may 20, 1995, domestic, non washington, general news item, brazilian president faces renewed demonstrations ;","during ceremonies for a new hydroelectric power generator, protesting against privatization of state run businesses and economic reforms"
1401995005,Brazil,140,1995,South America,1,5,9,8,1995,9,8,1995,0,Amazon state of Rondonia,,1300,landless laborers,"political behavior, process",,,,crowd dispersal,killings,,,,,,"the new york times, august 16, 1995, wednesday, section a; page 19; column 3; foreign desk, world news briefs; 75 reported missing in clash in amazon ;",75 people are missing after the event
1401995006,Brazil,140,1995,South America,1,6,23,11,1995,23,11,1995,0,Foz do Igua u,,20000,"brazilian and paraguayan demonstrators car rental workers, street vendors from ciudad del este and small brazilian traders in the tourism sector","political behavior, process",,,,ignore,,,,,,,"bbc summary of world broadcasts, november 24, 1995, friday, source: cerro cora tv, asuncion, about 20,000 people close bridge to brazil in protest against brazil s measures ;",blocking the bridge to protest against the brazilian government s arbitrary measures
1401996001,Brazil,140,1996,South America,1,1,10,4,1996,10,4,1996,0,in 22 of 26 states,,1000,landless workers,"political behavior, process",,,,ignore,,,,,,,"agence france presse, april 11, 1996, international news, landless peasants demonstrate across brazil ;",organized by the movement of landless workers
1401996002,Brazil,140,1996,South America,1,2,17,4,1996,17,4,1996,0,Amazon highway,,2500,landless workers,"political behavior, process",,,,killings,shootings,,,,,,"the washington post, april 19, 1996, friday, a section; pg. a31; around the world, brazil police kill 23 amazon landless ;",blocking the highway to demand land
1401996003,Brazil,140,1996,South America,1,3,21,6,1996,21,6,1996,0,national level,,10000,"workers dock, transportation, industrial",labor wage dispute,,,,ignore,,,,,,,"xinhua news agency, june 21, 1996, friday, brazilian labor unions launch general strike ;",general strike to demand higher wages and no unemployment
1401996004,Brazil,140,1996,South America,1,4,1,11,1996,1,11,1996,0,Florianopolis,,50,union leaders and students,"political behavior, process",,,,ignore,,,,,,,"bbc summary of world broadcasts, november 4, 1996, monday, source: agencia estado news agency, demonstrations as brazilian, argentine and paraguayan presidents meet ;",protesting re election project
1401997001,Brazil,140,1997,South America,1,1,18,2,1997,17,4,1997,0,"Rio de Janeiro, Sao Paulo, towns and cities in the states of Matto Grosso, Espirito Santo, Bahia",,1000,members of the movement of the landless,"political behavior, process",,,,ignore,,,,,,,"agence france presse, february 18, 1997, international news, brazil s rural poor launch protest march for land reform ; agence france presse, april 17, 1997, international news, two thousand landless protesters put brazil s government to the ;",march to the capital
1401997002,Brazil,140,1997,South America,1,2,2,4,1997,5,4,1997,0,port of Santos and some other ports,,50,dockworkers,"political behavior, process",,,,ignore,,,,,,,"agence france presse, april 04, 1997, international news, dockworkers strike paralyzes brazil s ports ; agence france presse, april 05, 1997, financial pages, strikers block brazilian steel company s dock terminal ;",strike against federal government s decision of hiring of non union workers
1401997003,Brazil,140,1997,South America,1,3,17,4,1997,17,4,1997,0,Brasilia,,1000,"members of the movement of the landless, students, throngs of workers","political behavior, process",,,,ignore,,,,,,,"agence france presse, april 17, 1997, international news, two thousand landless protesters put brazil s government to the test ; the new york times, april 18, 1997, friday, section a; page 12; column 6; foreign desk, peasant marchers reach br;",march to the capital ends with demonstration
1401997004,Brazil,140,1997,South America,1,4,18,4,1997,19,4,1997,0,national level,,1000,dockworkers,"political behavior, process",,,,ignore,,,,,,,"agence france presse, april 18, 1997, international news, brazilian dockworkers begin 48 hour strike ;",general strike
1401997005,Brazil,140,1997,South America,1,5,28,4,1997,29,4,1997,0,Vale do Rio Doce   Rio de Janeiro,,1000,brazilians,"political behavior, process",,,,ignore,,,,,,,"agence france presse, april 29, 1997, financial pages, police ring rio square ahead of contested mining privatization sale ; the new york times, april 30, 1997, wednesday, section a; page 3; column 1; foreign desk, sale of brazil s state mini;",protests against privatization of state owned mining company
1401997006,Brazil,140,1997,South America,1,6,8,5,1997,8,5,1997,0,Santos  Brazil s main port,,50,dockworkers,labor wage dispute,,,,ignore,,,,,,,"agence france presse, may 08, 1997, financial pages, strike paralyzes brazil s main port ;",strike workers have only received 65 percent of their regular pay
1401997007,Brazil,140,1997,South America,1,7,19,7,1997,27,7,1997,0,"7 states includes Rio de Janeiro, Paraiba Alagoas ; later 8 more states",,50,police,labor wage dispute,,,,accomodation,,,,,,,"agence france presse, july 19, 1997, international news, brazil police striking or protesting in seven states ; the washington post, july 23, 1997, wednesday, a section; pg. a19, police strike leaves brazilian cities convulsed by crime; in re;",strike
1401997008,Brazil,140,1997,South America,1,8,23,7,1997,23,7,1997,0,southern Brazil,,500,peasants,"political behavior, process",,,,ignore,,,,,,,"agence france presse, july 23, 1997, international news, landless peasants occupy gm plant in brazil ;",occupying a general motors plant
1401998001,Brazil,140,1998,South America,1,1,11,2,1998,11,2,1998,0,"Sao Paulo, Brasilia and other cities",,1000,brazilians,"political behavior, process",,,,ignore,,,,,,,"the washington post, february 11, 1998, wednesday, a section; pg. a24; world in brief: the americas, brazilians protest proposed social security cuts ;",protesting against a bill about social security cuts
1401998002,Brazil,140,1998,South America,1,2,2,3,1998,2,3,1998,0,the southern state of Rio Grande do Sul.,,3800,landless workers or peasants,"political behavior, process",,,,ignore,,,,,,,"deutsche presse agentur, march 2, 1998, monday, international news, brazil s landless launch new offensive ;",occupy three haciendas
1401998003,Brazil,140,1998,South America,1,3,16,3,1998,18,3,1998,0,in 16 cities,,4000,members of the national movement of landless rural workers,"political behavior, process",,,,ignore,,,,,,,"christian science monitor, march 20, 1998, friday, international; pg. 7, brazil s landless peasants take city buildings in protest ;",occupying government buildings
1401998004,Brazil,140,1998,South America,1,4,17,4,1998,17,4,1998,0,"Rio de Janeiro, Recife, and Brasilia",,13000,brazilians,"political behavior, process",,,,ignore,,,,,,,"the toronto star, april 18, 1998, saturday, news, peasant massacre remembered ;",demand faster land reform on the second anniversary of a police massacre of 19 landless farmers
1401998005,Brazil,140,1998,South America,1,5,1,5,1998,1,5,1998,0,wealthy estates in northeastern Brazil,,2000,poor farmers,"political behavior, process",,,,ignore,,,,,,,"deutsche presse agentur, may 2, 1998, saturday, international news, about 2,000 farm families protest starvation by holding sit ins ;",held sit ins against the growing threat of starvation and the lack of action by government officials to combat it
1401998006,Brazil,140,1998,South America,1,6,5,5,1998,5,5,1998,0,state of Pernambuco,,2000,poor farmers,"political behavior, process",,,,ignore,,,,,,,"deutsche presse agentur, may 5, 1998, tuesday, international news, food shortage protests grow in brazil ;",blocked a local highway protesting against an ongoing food shortage
1401998007,Brazil,140,1998,South America,1,7,20,5,1998,20,5,1998,0,Brasilia,,20000,brazilians,"political behavior, process",,,,crowd dispersal,,,,,,,"deutsche presse agentur, may 20, 1998, wednesday, international news, protesters clash with police at demonstrations in brasilia ;",protesting unemployment and the need for agricultural reforms
1401998008,Brazil,140,1998,South America,1,8,29,7,1998,29,7,1998,1,downtown Rio de Janeiro,,50,brazilians,"political behavior, process",,,,crowd dispersal,arrests,,,,,,"bbc summary of world broadcasts, july 31, 1998, friday, source: globo tv, rio de janeiro, telebras privatization ends; provokes riots in rio de janeiro ;","against the privatization of the telebras brazilian telecommunications, inc system"
1401998009,Brazil,140,1998,South America,1,9,15,10,1998,15,10,1998,0,outside the headquarters of the Indian Foundation   Brasilia,,150,indians,"political behavior, process",,,,ignore,,,,,,,"the toronto star, october 16, 1998, friday, news, indians protest austerity ;",protesting a sweeping government austerity plan
1401998010,Brazil,140,1998,South America,1,10,24,11,1998,25,11,1998,0,national level  42 ocean and river ports,,50000,dockworkers,"political behavior, process",,,,ignore,,,,,,,"deutsche presse agentur, november 24, 1998, tuesday, financial pages, 50,000 striking dockers paralyse brazil s container ports ;",general strike to protest a legislative proposal
1401998011,Brazil,140,1998,South America,1,11,10,12,1998,10,12,1998,1,"outside the Museum of Fine Arts, in central Rio de Janeiro",,60,students,"political behavior, process",,,,crowd dispersal,,,,,,,"bbc monitoring latin america, december 11, 1998, friday, source: agencia estado news agency, brazil: demonstration staged against cardoso during mercosur summit ;","the visit paid to the museum of fine arts, in central rio de janeiro, by the chiefs of state of the member countries of the common market of the south mercosur was marked by a lot of confusion outside the museum building. demonstrators booed and shouted slogans against president fernando henrique cardoso and clashed with military police pm and municipal security agents"
1401999001,Brazil,140,1999,South America,1,1,15,3,1999,15,3,1999,0,Priatini,,1000,landless farmers,"political behavior, process",,,,ignore,,,,,,,"deutsche presse agentur, march 15, 1999, monday, international news, thousands of landless farmers occupy brazilian ranch ;",occupying a ranch to protest the slow pace of the country s agricultural reforms
1401999002,Brazil,140,1999,South America,1,2,26,4,1999,26,4,1999,0,Betim,,400,homeless people,"political behavior, process",,,,shootings,killings,,,,,,"deutsche presse agentur, april 27, 1999, tuesday, international news, two homeless people killed in clash with brazilian police ;",occupying land
1401999003,Brazil,140,1999,South America,1,3,26,5,1999,26,5,1999,0,at an airport in the southern Brazilian district of Irai,,400,cainguanges indians,"political behavior, process",,,,ignore,,,,,,,"deutsche presse agentur, may 26, 1999, wednesday, international news, 400 indians protest, take hostages in brazil ;",taking hostages demanding better health insurance
1401999004,Brazil,140,1999,South America,1,4,25,7,1999,1,8,1999,0,national level,,50,truckers,"political behavior, process",,,,crowd dispersal,,,,,,,"the new york times, july 27, 1999, tuesday, section c; page 4; column 4; business financial desk, world business briefing: americas; truckers disrupt brazil roads ; the new york times, july 29, 1999, thursday, section c; page 4; column 3; busi;",general strike
1401999005,Brazil,140,1999,South America,1,5,4,8,1999,4,8,1999,0,Rio de Janeiro,,100,traders,"political behavior, process",,,,ignore,,,,,,,"the new york times, august 4, 1999, wednesday, section c; page 4; column 3; business financial desk, world business briefing: americas; brazil trading protest ;",rio de janeiro stock exchanges were shut down protesting a tax on financial transactions
1401999006,Brazil,140,1999,South America,1,6,17,8,1999,17,8,1999,0,Brasilia,,1000,farmers,"political behavior, process",,,,ignore,,,,,,,"deutsche presse agentur, august 17, 1999, tuesday, international news, brazil s farmers converge on capital for protest ;","thousands of farmers from around brazil converged on the capital tuesday in tractors and trucks to demand that some of their debts be written off by the government. organisors said they were expecting 15,000 demonstrators on 3,000 trucks and tractors to join the protest in brasilia s ministerial district."
1401999007,Brazil,140,1999,South America,1,7,26,8,1999,26,8,1999,0,in front of the National Congress   Brasilia,,100000,workers,"political behavior, process",,,,ignore,,,,,,,"bbc monitoring latin america, august 27, 1999, friday, source: agencia estado news agency, sao paulo, brazil: lula ends march of the 100,000 , urges people to disperse peacefully ; bbc summary of world broadcasts, august 28, 1999, saturday, ;",protest against the government s economic and social policy
1401999008,Brazil,140,1999,South America,1,8,6,10,1999,6,10,1999,0,Brasilia,,1000,"teachers, students and parents","political behavior, process",,,,ignore,,,,,,,"the globe and mail, october 7, 1999 thursday, international news; world report; pg. a23, brazil: marchers demand action on education ;",to demand better education
1401999009,Brazil,140,1999,South America,1,9,2,12,1999,2,12,1999,0,Brasilia,,100,brazilians,labor wage dispute,,,,shootings,killings,crowd dispersal,,,,,"deutsche presse agentur, december 2, 1999, thursday, international news, one dead in clashes between police and demonstrators in brasilia ;","hundreds of protesters fought with members of a special police unit thursday in clashes that killed one and severely injured at least eight others in brasilia, o globo newspaper reported. according to the paper, the demonstrators were calling for higher wages in a protest staged in front of government offices."
1401999010,Brazil,140,1999,South America,1,10,3,12,1999,3,12,1999,0,Brasilia,,50,brazilians,police brutality,,,,ignore,,,,,,,"deutsche presse agentur, december 3, 1999, friday, international news, bloody repression of demonstrations rocks brazil, sparks new protest ;","the brutal repression of a demonstration during which brazilian police killed one man and severely injured eight others caused angry citizens to stage new demonstrations friday. hundreds of police, who belong to an anti demonstration unit, reportedly reacted with open violence toward government employees demonstrating for higher wages on thursday. demonstation participants said police fired not only rubber bullets and tear gas, but real bullets as well."
