Identificacao_do_veiculo,Codigo_evento,Data_de_Inicio_do_protesto,Cidade,Local,Base_social,Base_social_2,Alvo_protesto,Ocupação/Atividade,Objetivo_1,Objetivo_2,Ambito_do_Protesto,Capilaridade,Unidade_Capilaridade,N_Part,Data_termino_do_protesto,Org,Org_2,Org_3,Tipo_Protesto,Confronto_entre_manifestantes,Depredacao,Presenca_policia,Repressao_policial,Detidos,Feridos,Mortos
20110114FSPC10_1,20150221NMEN01,2011-01-13,São Paulo,Praca_da_Republica,Estudante,,Gov. Municipal,,Contra_o_aumento_da_tarifa_do_transporte_publico,,Local,1,Via Pública e Estradas,700,2011-01-13,Movimento Passe Livre,,,Passeata/Marcha/Ato,Não,Sim,Sim,Sim,Sim,Sim,Não
20110115FSPA10_1,20110114OCUP01,2011-01-14,Anapu,Assentamento_Esperanca,Trabalhadores,,Outros Grupos da Sociedade,Rural,evitar_entrada_saida_madeireiros_ilegais,,Local,1,Ocupações,99,,,,,Bloqueio de Estradas/Piquete,NM,NM,Sim,NM,NM,NM,NM
20110115FSPC12_1,20110114BSHT02,2011-01-14,São Paulo,Santa_Ifigenia,Trabalhadores,Empregadores,Gov. Municipal,Comércio e Serviço,evitar_apresentacao_de_projeto_demolicao_comercio_cracolandia,,Local,1,Bairros,1100,2011-01-14,,,,Passeata/Marcha/Ato,NM,NM,Sim,NM,NM,NM,NM
20110116FSPA15_1,20110114TERR01,2011-01-14,Araçatuba,Pontal_do_Paranapanema,Sem Terra,,Gov. Estadual,,pela_inclusao_social_trabalhador_rural,reforma_agraria,Estadual,99,Estados,99,,,,,Ocupação de Terra,Não,NM,NM,NM,NM,NM,NM
20110121FSPC11_1,20110120IDEN01,2011-01-20,São Paulo,Av_Paulista,Estudante,,Gov. Municipal,,Contra_o_aumento_da_tarifa_do_transporte_publico,,Local,1,Via Pública e Estradas,3000,2011-01-20,Movimento Passe Livre,,,Passeata/Marcha/Ato,Não,Não,Sim,Não,NM,NM,NM
20110126FSPC04_1,20110125POLI01,2011-01-25,São Paulo,Igreja,Militantes de Partidos,,Gov. Municipal,,contra _gestao_prefeito_kassab_SP,contra_enchente_contra_aumento_tarifa_onibus_contra_troca_de_terreno,Municipal,99,Instituição,99,2011-01-25,,,,Passeata/Marcha/Ato,NM,NM,NM,NM,NM,NM,NM
20110126FSPC04_1,20110125POLI01,2011-01-25,São Paulo,Mario_de_Andrade,Militantes de Partidos,,Gov. Municipal,,contra _gestao_prefeito_kassab_SP,contra_enchente_contra_aumento_tarifa_onibus_contra_troca_de_terreno,Municipal,99,Instituição,99,2011-01-25,Movimento Passe Livre,,,Outros,NM,NM,Sim,Sim,NM,NM,NM
20110211FSPA07_1,20110210TERR01,2011-02-10,Maceió,Porto,Sem Terra,,Gov. Estadual,,Nada_consta,,Local,1,Via Pública e Estradas,300,,Comissão Pastoral da Terra,,,Ocupação de Espaço Público,NM,Não,NM,NM,NM,NM,NM
20110218FSPC10_1,20110217IDEN01,2011-02-17,São Paulo,Prefeitura,Estudante,,Gov. Municipal,,Contra_o_aumento_da_tarifa_do_transporte_publico,,Local,1,Instituição,400,2011-02-17,,,,Passeata/Marcha/Ato,NM,NM,Sim,Sim,NM,Sim,NM
20110225FSPA09_1,20110224TERR01,2011-02-24,Apiaí,Prefeitura,Sem Terra,,Gov. Municipal,,saneamento_no_assentamento,reforma_agrária,Local,1,Instituição,99,2011-02-24,Movimento dos Trabalhadores Rurais Sem Terra,,,Ocupação de Terra,NM,Não,NM,NM,NM,NM,NM
20110302FSPA09_1,20110228IDEN01,2011-02-28,Aracaju,Praça,Mulheres,Sem Terra,Outros Grupos da Sociedade,,dia_da_mulher,denunciar_polimero_verde,Nacional,4,Cidades,99,,Via Campesina,,,Ocupação de Espaço Público,NM,NM,NM,NM,NM,NM,NM
20110302FSPA09_1,20110228IDEN01,2011-02-28,Eunápolis,Fazenda,Mulheres,Sem Terra,Outros Grupos da Sociedade,,dia_da_mulher,denunciar_polimero_verde,Nacional,4,Cidades,99,,,,,Ocupação de Terra,NM,NM,NM,NM,NM,NM,NM
20110302FSPA09_1,20110228IDEN01,2011-02-28,Recife,Superintendecia_INCRA,Mulheres,Sem Terra,Outros Grupos da Sociedade,,dia_da_mulher,denunciar_polimero_verde,Nacional,4,Cidades,99,,Movimento dos Trabalhadores Rurais Sem Terra,Via Campesina,,Ocupação de Órgão Público,NM,Sim,NM,NM,NM,NM,NM
20110302FSPA09_1,20110228IDEN01,2011-02-28,Triunfo,BRASKEM,Mulheres,Sem Terra,Outros Grupos da Sociedade,,dia_da_mulher,denunciar_polimero_verde,Nacional,4,Cidades,99,,Via Campesina,,,Ocupação de Terra,NM,NM,NM,NM,NM,NM,NM
20110304FSPC01_1,20110303OCUP01,2011-03-03,BA,Bahia,Trabalhadores,,Gov. Estadual,Forças de segurança e familiares,contra_morte_de_policial_civil,excesso_jornada; reajuste_hora_extra_prisoes_ilegais,Estadual,99,Cidades,99,,Sindicato dos Policiais Civis da Bahia,,,Greve de Categoria,NM,NM,NM,NM,NM,NM,NM
20110305FSPA05_1,20110303IDEN01,2011-03-03,São Paulo,INCRA,Mulheres,Sem Terra,Sociedade,,dia_da_mulher,assentamento_para_familias_acampadas_politicas_publicas_lavoura_sem_agrotoxico,Nacional,99,Cidades,99,,Movimento dos Trabalhadores Rurais Sem Terra,Via Campesina,,Ocupação de Órgão Público,NM,NM,NM,NM,NM,NM,NM
20110305FSPA05_1,20110303IDEN01,2011-03-03,Uberaba,BR_050,Mulheres,Sem Terra,Sociedade,,dia_da_mulher,assentamento_para_familias_acampadas_politicas_publicas_lavoura_sem_agrotoxico,Nacional,99,Cidades,99,,Movimento dos Trabalhadores Rurais Sem Terra,Via Campesina,,Bloqueio de Estradas/Piquete,NM,NM,Sim,NM,NM,NM,NM
20110305FSPC03_1,20110304IDEN01,2011-03-04,São Paulo,centro,Negros,,Outros Grupos da Sociedade,,pela_valorizacao_da_cultura_negra_no_paisandu,,Local,1,Bairros,99,2011-03-04,,,,Intervenção Artistíca/Simbólica,NM,NM,NM,NM,NM,NM,NM
20110305FSPC04_1,20110304TERR01,2011-03-04,São Paulo,Mboi_Mirim,Moradores,,Gov. Municipal,,melhoria_ transporte_coletivo_na_regiao,volta_de_linhas,Local,1,Bairros,2000,2011-03-04,,,,Bloqueio de Estradas/Piquete,NM,NM,NM,NM,NM,NM,NM
20110308FSPA05_1,20110305OCUP01,2011-03-05,Alvorada do Sul,Fazenda,Trabalhadores,,Patronato,Rural,Nada_consta,,Local,1,Ocupações,30,2011-03-05,Confederação Nacional dos Trabalhadores na Agricultura,,,Ocupação de Terra,NM,NM,Sim,Sim,Sim,Sim,NM
20110316FSPC07_1,20110315NMEN01,2011-03-15,Teresópolis,Prefeitura,Não Mencionada,,Gov. Municipal,,pela_renuncia_do_prefeito,,Local,1,Instituição,300,2011-03-15,,,,Passeata/Marcha/Ato,NM,Sim,Sim,Sim,Não,Não,NM
20110318FSPB01_1,20110315OCUP01,2011-03-15,Porto Velho,Usina_Jirau,Trabalhadores,,Patronato,Indústria,reacao_a prisao_abusiva_de_trabalhador,reajuste_salarial; vale_alimentacao,Local,1,Instituição,99,,,,,Outros,NM,Sim,Sim,Sim,NM,NM,NM
20110318FSPC11_1,20110317BSHT01,2011-03-17,São Paulo,Metro,Estudante,Trabalhadores,Gov. Municipal,Diversificado,Contra_o_aumento_da_tarifa_do_transporte_publico,,Local,1,Via Pública e Estradas,250,2011-03-17,Central Geral dos Trabalhadores do Brasil,Movimento dos Trabalhadores Rurais Sem Terra,Partido Verde,Passeata/Marcha/Ato,NM,Sim,Sim,Sim,Sim,Sim,NM
20110325FSPC02_1,20110324BSHT01,2011-03-24,São Paulo,Av_Paulista,Estudante,Trabalhadores,Gov. Municipal,Não Identificado,Contra_o_aumento_da_tarifa_do_transporte_publico,,Local,1,Via Pública e Estradas,500,2011-03-24,,,,Passeata/Marcha/Ato,NM,NM,Sim,NM,Sim,NM,NM
20110326FSPA07_1,20110325TERR01,2011-03-25,Caruaru,Caixa,Sem Terra,,Gov. Federal,,exigir_rapidez_recursos_em_convenios_assentamentos,,Estadual,4,Cidades,300,,Movimento dos Trabalhadores Rurais Sem Terra,,,Ocupação de Órgão Público,NM,Não,NM,Não,NM,NM,NM
20110326FSPA07_1,20110325TERR01,2011-03-25,Limoeiro,Caixa,Sem Terra,,Gov. Federal,,exigir_rapidez_recursos_em_convenios_assentamentos,,Estadual,4,Cidades,300,,Movimento dos Trabalhadores Rurais Sem Terra,,,Ocupação de Órgão Público,NM,Não,NM,Não,NM,NM,NM
