Data,"Cidade, UF",Público Estimado
27/11/1983,"São Paulo, SP (Pacaembu)",15000
05/01/1984,"Olinda, PE",15000
12/01/1984,"Curitiba, PR",30000
13/01/1984,"Porto Alegre, RS",5000
14/01/1984,"Camboriú, SC",15000
18/01/1984,"Rio Claro, SP",3000
18/01/1984,"Bauru, SP",3000
20/01/1984,"Salvador, BA",20000
21/01/1984,"Campinas, SP",12000
21/01/1984,"Vitória, ES",10000
25/01/1984,"São Paulo, SP (Praça da Sé)",250000
26/01/1984,"João Pessoa, PB",10000
26/01/1984,"Santos, SP",6000
27/01/1984,"Olinda, PE",20000
29/01/1984,"Maceió, AL",20000
13/02/1984,"Teresina, PI",25000
14/02/1984,"São Luís, MA",15000
15/02/1984,"Macapá, AP",10000
16/02/1984,"Belo Horizonte, MG",60000
16/02/1984,"Belém, PA",60000
16/02/1984,"Rio de Janeiro, RJ",50000
17/02/1984,"Recife, PE",10000
18/02/1984,"Manaus, AM",6000
19/02/1984,"Osasco, SP",25000
19/02/1984,"Rio Branco, AC",7000
20/02/1984,"Cuiabá, MT",15000
21/02/1984,"Belo Horizonte, MG",3000
24/02/1984,"Belo Horizonte, MG",300000
25/02/1984,"Taguatinga, DF",4000
26/02/1984,"Aracaju, SE",30000
29/02/1984,"Juiz de Fora, MG",30000
08/03/1984,"Anápolis, GO",20000
21/03/1984,"Rio de Janeiro, RJ",150000
23/03/1984,"Uberlândia, MG",40000
23/03/1984,"São Bernardo do Campo, SP",15000
24/03/1984,"Campo Grande, MS",40000
25/03/1984,"Campina Grande, PB",10000
31/03/1984,"Cascavel, PR",40000
02/04/1984,"Londrina, PR",50000
05/04/1984,"Recife, PE",80000
06/04/1984,"Natal, RN",50000
07/04/1984,"Petrolina, PE",30000
10/04/1984,"Rio de Janeiro, RJ",1000000
12/04/1984,"Goiânia, GO",250000
13/04/1984,"Porto Alegre, RS",200000
13/04/1984,"Ipatinga, MG",50000
16/04/1984,"São Paulo, SP (Anhangabaú)",1500000
18/04/1984,"Vitória, ES",80000
25/06/1984,"Curitiba, PR",40000
26/06/1984,"São Paulo, SP (Praça da Sé)",50000
27/06/1984,"Rio de Janeiro, RJ",30000
