Estado / Local,Quantidade (N),Percentual (%)
São Paulo,170,0.34689999999999999
Minas Gerais,85,0.17349999999999999
Paraná,33,6.7299999999999999E-2
Rio Grande do Sul,25,5.0999999999999997E-2
Pernambuco,24,4.9000000000000002E-2
Bahia,23,4.6899999999999997E-2
Goiás,21,4.2900000000000001E-2
Rio de Janeiro,20,4.0800000000000003E-2
Sergipe,13,2.6499999999999999E-2
Maranhão,12,2.4500000000000001E-2
Mato Grosso,10,2.0400000000000001E-2
Mato Grosso do Sul,9,1.84E-2
Espírito Santo,8,1.6299999999999999E-2
Santa Catarina,8,1.6299999999999999E-2
Alagoas,5,1.0200000000000001E-2
Piauí,5,1.0200000000000001E-2
Rondônia,4,8.2000000000000007E-3
Amazonas,4,8.2000000000000007E-3
Rio Grande do Norte,3,6.1000000000000004E-3
Distrito Federal,2,4.1000000000000003E-3
Paraíba,2,4.1000000000000003E-3
Roraima,1,2E-3
Pará,1,2E-3
Ceará,1,2E-3
Acre,1,2E-3
Total Brasil,490,1
