marco_id,ciclo,data,tipo_ato,descricao,canal_demandado,canal_efetivo,traducao_direcao,ciclo_seguinte_afetado,evidencia_id,fonte_nivel,status_verificacao
MI-C1-01,c1,1984-04-25,votacao_legislativa,"Câmara rejeita a Emenda Dante de Oliveira (PEC de eleição direta): 298 favoráveis, 65 contrários, 3 abstenções, 113 ausências. Necessários 320 votos (2/3). A emenda não foi ao Senado.",eleicao_direta_presidencial,nenhum,NA,,,2,verificado_fonte_oficial
MI-C1-02,c1,1985-01-15,eleicao_indireta,"Colégio Eleitoral elege Tancredo Neves por 480 x 180 sobre Paulo Maluf, 26 abstenções.",eleicao_direta_presidencial,colegio_eleitoral,canal_alternativo,,EV-C1-T1-001,2,verificado_fonte_oficial
MI-C1-03,c1,1988-10-05,promulgacao_constitucional,Promulgação da Constituição Federal de 1988 pela Assembleia Nacional Constituinte (61.200 emendas parlamentares e 122 emendas populares no processo).,ampliacao_canais_democraticos,assembleia_nacional_constituinte,canal_demandado,c2,EV-C1-T1-002,1,verificado_fonte_oficial
MI-C1-04,c1,1989-11-15,eleicao_direta,"Primeira eleição presidencial direta desde 1960. 2º turno em 17/12/1989 elege Fernando Collor com 53,03% contra 46,97% de Lula.",eleicao_direta_presidencial,eleicao_direta_presidencial,canal_demandado,c2,EV-C1-T1-003,2,corroborado_imprensa
MI-C2-01,c2,1992-09-29,votacao_legislativa,"Câmara autoriza a abertura do processo de impeachment: 441 x 38, 1 abstenção, 23 ausências.",impeachment,impeachment,canal_demandado,,EV-C2-T1-001,2,verificado_fonte_oficial
MI-C2-02,c2,1992-12-29,renuncia_e_cassacao,"Collor renuncia no início do julgamento. O Senado prossegue: a Resolução nº 101/1992 julga a denúncia procedente e impõe inabilitação de 8 anos, mas declara PREJUDICADO o pedido de perda do cargo em razão da renúncia, extinguindo o processo nessa parte.",impeachment_com_perda_do_cargo,renuncia_mais_inabilitacao_por_resolucao,antecipacao_pelo_alvo,,EV-C2-T1-003,1,verificado_fonte_oficial
MI-C3-01,c3,2013-06-19,revogacao_tarifaria,Revogação do aumento da tarifa de transporte público em São Paulo e em outras capitais.,revogacao_do_aumento_tarifario,executivo_municipal_estadual,canal_demandado,,,2,pendente
MI-C3-02,c3,2013-06-25,votacao_legislativa,"Câmara rejeita a PEC 37: 430 contrários, 9 favoráveis.",nao_demandado_pelo_ciclo,legislativo_federal,objeto_substituido,,EV-C3-T1-001,2,verificado_fonte_oficial
MI-C4-01,c4,2016-04-17,votacao_legislativa,"Câmara aprova o parecer pela admissibilidade por 367 votos a favor, 137 contra e 7 abstenções (mínimo exigido: 342), autorizando o julgamento pelo Senado.",impeachment,impeachment,canal_demandado,,EV-C4-T1-004,2,verificado_fonte_oficial
MI-C4-02,c4,2016-08-31,julgamento_senado,Senado condena Dilma Rousseff por crime de responsabilidade e cassa o mandato por 61 votos a 20 (quórum de 2/3 = 54).,impeachment,impeachment,canal_demandado,,EV-C4-T1-001,2,verificado_fonte_oficial
MI-C4-03,c4,2016-08-31,votacao_separada_sancao,"Votação separada da inabilitação para função pública: 42 a favor, 36 contra, 3 abstenções. Abaixo do quórum de dois terços exigido (54 de 81). Direitos políticos preservados.",inabilitacao_para_funcao_publica,nenhum,NA,,EV-C4-T1-003,2,verificado_fonte_oficial
