ano,indicador,modelo_teorico,valor,unidade,fonte_orgao,fonte_serie,efeito_esperado,fonte_url,data_consulta,status_verificacao
1970,inflacao,grievance,,,IBGE/BCB,IPCA anual (SIDRA 1737 / BCB-SGS 433),+,,,pendente
1970,crescimento_pib_per_capita,grievance,,,IBGE,Contas Nacionais (SIDRA 6784),-,,,pendente
1970,urbanizacao,mobilizacao_recursos,,,IBGE,% população urbana (SIDRA 202/6579),+,,,pendente
1970,bonus_demografico_jovem,mobilizacao_recursos,,,IBGE,% pop. 15-24 anos (SIDRA 7358),+,,,pendente
1970,capacidade_organizacional_greves,mobilizacao_recursos,,,DIEESE,nº de greves/ano (SAG),+,,,pendente
1970,escolaridade,modernizacao,,,IBGE,taxa de escolarização líquida (PNAD/PNADC),+,,,pendente
1970,comunicacao,modernizacao,,,ANATEL/IBGE,acessos móveis por 100 hab.; domicílios com internet,+,,,pendente
1970,ano_eleitoral,oportunidade_politica,,,TSE,binário: houve eleição nacional no ano,+,,,pendente
1971,inflacao,grievance,,,IBGE/BCB,IPCA anual (SIDRA 1737 / BCB-SGS 433),+,,,pendente
1971,crescimento_pib_per_capita,grievance,,,IBGE,Contas Nacionais (SIDRA 6784),-,,,pendente
1971,urbanizacao,mobilizacao_recursos,,,IBGE,% população urbana (SIDRA 202/6579),+,,,pendente
1971,bonus_demografico_jovem,mobilizacao_recursos,,,IBGE,% pop. 15-24 anos (SIDRA 7358),+,,,pendente
1971,capacidade_organizacional_greves,mobilizacao_recursos,,,DIEESE,nº de greves/ano (SAG),+,,,pendente
1971,escolaridade,modernizacao,,,IBGE,taxa de escolarização líquida (PNAD/PNADC),+,,,pendente
1971,comunicacao,modernizacao,,,ANATEL/IBGE,acessos móveis por 100 hab.; domicílios com internet,+,,,pendente
1971,ano_eleitoral,oportunidade_politica,,,TSE,binário: houve eleição nacional no ano,+,,,pendente
1972,inflacao,grievance,,,IBGE/BCB,IPCA anual (SIDRA 1737 / BCB-SGS 433),+,,,pendente
1972,crescimento_pib_per_capita,grievance,,,IBGE,Contas Nacionais (SIDRA 6784),-,,,pendente
1972,urbanizacao,mobilizacao_recursos,,,IBGE,% população urbana (SIDRA 202/6579),+,,,pendente
1972,bonus_demografico_jovem,mobilizacao_recursos,,,IBGE,% pop. 15-24 anos (SIDRA 7358),+,,,pendente
1972,capacidade_organizacional_greves,mobilizacao_recursos,,,DIEESE,nº de greves/ano (SAG),+,,,pendente
1972,escolaridade,modernizacao,,,IBGE,taxa de escolarização líquida (PNAD/PNADC),+,,,pendente
1972,comunicacao,modernizacao,,,ANATEL/IBGE,acessos móveis por 100 hab.; domicílios com internet,+,,,pendente
1972,ano_eleitoral,oportunidade_politica,,,TSE,binário: houve eleição nacional no ano,+,,,pendente
1973,inflacao,grievance,,,IBGE/BCB,IPCA anual (SIDRA 1737 / BCB-SGS 433),+,,,pendente
1973,crescimento_pib_per_capita,grievance,,,IBGE,Contas Nacionais (SIDRA 6784),-,,,pendente
1973,urbanizacao,mobilizacao_recursos,,,IBGE,% população urbana (SIDRA 202/6579),+,,,pendente
1973,bonus_demografico_jovem,mobilizacao_recursos,,,IBGE,% pop. 15-24 anos (SIDRA 7358),+,,,pendente
1973,capacidade_organizacional_greves,mobilizacao_recursos,,,DIEESE,nº de greves/ano (SAG),+,,,pendente
1973,escolaridade,modernizacao,,,IBGE,taxa de escolarização líquida (PNAD/PNADC),+,,,pendente
1973,comunicacao,modernizacao,,,ANATEL/IBGE,acessos móveis por 100 hab.; domicílios com internet,+,,,pendente
1973,ano_eleitoral,oportunidade_politica,,,TSE,binário: houve eleição nacional no ano,+,,,pendente
1974,inflacao,grievance,,,IBGE/BCB,IPCA anual (SIDRA 1737 / BCB-SGS 433),+,,,pendente
1974,crescimento_pib_per_capita,grievance,,,IBGE,Contas Nacionais (SIDRA 6784),-,,,pendente
1974,urbanizacao,mobilizacao_recursos,,,IBGE,% população urbana (SIDRA 202/6579),+,,,pendente
1974,bonus_demografico_jovem,mobilizacao_recursos,,,IBGE,% pop. 15-24 anos (SIDRA 7358),+,,,pendente
1974,capacidade_organizacional_greves,mobilizacao_recursos,,,DIEESE,nº de greves/ano (SAG),+,,,pendente
1974,escolaridade,modernizacao,,,IBGE,taxa de escolarização líquida (PNAD/PNADC),+,,,pendente
1974,comunicacao,modernizacao,,,ANATEL/IBGE,acessos móveis por 100 hab.; domicílios com internet,+,,,pendente
1974,ano_eleitoral,oportunidade_politica,,,TSE,binário: houve eleição nacional no ano,+,,,pendente
1975,inflacao,grievance,,,IBGE/BCB,IPCA anual (SIDRA 1737 / BCB-SGS 433),+,,,pendente
1975,crescimento_pib_per_capita,grievance,,,IBGE,Contas Nacionais (SIDRA 6784),-,,,pendente
1975,urbanizacao,mobilizacao_recursos,,,IBGE,% população urbana (SIDRA 202/6579),+,,,pendente
1975,bonus_demografico_jovem,mobilizacao_recursos,,,IBGE,% pop. 15-24 anos (SIDRA 7358),+,,,pendente
1975,capacidade_organizacional_greves,mobilizacao_recursos,,,DIEESE,nº de greves/ano (SAG),+,,,pendente
1975,escolaridade,modernizacao,,,IBGE,taxa de escolarização líquida (PNAD/PNADC),+,,,pendente
1975,comunicacao,modernizacao,,,ANATEL/IBGE,acessos móveis por 100 hab.; domicílios com internet,+,,,pendente
1975,ano_eleitoral,oportunidade_politica,,,TSE,binário: houve eleição nacional no ano,+,,,pendente
1976,inflacao,grievance,,,IBGE/BCB,IPCA anual (SIDRA 1737 / BCB-SGS 433),+,,,pendente
1976,crescimento_pib_per_capita,grievance,,,IBGE,Contas Nacionais (SIDRA 6784),-,,,pendente
1976,urbanizacao,mobilizacao_recursos,,,IBGE,% população urbana (SIDRA 202/6579),+,,,pendente
1976,bonus_demografico_jovem,mobilizacao_recursos,,,IBGE,% pop. 15-24 anos (SIDRA 7358),+,,,pendente
1976,capacidade_organizacional_greves,mobilizacao_recursos,,,DIEESE,nº de greves/ano (SAG),+,,,pendente
1976,escolaridade,modernizacao,,,IBGE,taxa de escolarização líquida (PNAD/PNADC),+,,,pendente
1976,comunicacao,modernizacao,,,ANATEL/IBGE,acessos móveis por 100 hab.; domicílios com internet,+,,,pendente
1976,ano_eleitoral,oportunidade_politica,,,TSE,binário: houve eleição nacional no ano,+,,,pendente
1977,inflacao,grievance,,,IBGE/BCB,IPCA anual (SIDRA 1737 / BCB-SGS 433),+,,,pendente
1977,crescimento_pib_per_capita,grievance,,,IBGE,Contas Nacionais (SIDRA 6784),-,,,pendente
1977,urbanizacao,mobilizacao_recursos,,,IBGE,% população urbana (SIDRA 202/6579),+,,,pendente
1977,bonus_demografico_jovem,mobilizacao_recursos,,,IBGE,% pop. 15-24 anos (SIDRA 7358),+,,,pendente
1977,capacidade_organizacional_greves,mobilizacao_recursos,,,DIEESE,nº de greves/ano (SAG),+,,,pendente
1977,escolaridade,modernizacao,,,IBGE,taxa de escolarização líquida (PNAD/PNADC),+,,,pendente
1977,comunicacao,modernizacao,,,ANATEL/IBGE,acessos móveis por 100 hab.; domicílios com internet,+,,,pendente
1977,ano_eleitoral,oportunidade_politica,,,TSE,binário: houve eleição nacional no ano,+,,,pendente
1978,inflacao,grievance,,,IBGE/BCB,IPCA anual (SIDRA 1737 / BCB-SGS 433),+,,,pendente
1978,crescimento_pib_per_capita,grievance,,,IBGE,Contas Nacionais (SIDRA 6784),-,,,pendente
1978,urbanizacao,mobilizacao_recursos,,,IBGE,% população urbana (SIDRA 202/6579),+,,,pendente
1978,bonus_demografico_jovem,mobilizacao_recursos,,,IBGE,% pop. 15-24 anos (SIDRA 7358),+,,,pendente
1978,capacidade_organizacional_greves,mobilizacao_recursos,,,DIEESE,nº de greves/ano (SAG),+,,,pendente
1978,escolaridade,modernizacao,,,IBGE,taxa de escolarização líquida (PNAD/PNADC),+,,,pendente
1978,comunicacao,modernizacao,,,ANATEL/IBGE,acessos móveis por 100 hab.; domicílios com internet,+,,,pendente
1978,ano_eleitoral,oportunidade_politica,,,TSE,binário: houve eleição nacional no ano,+,,,pendente
1979,inflacao,grievance,,,IBGE/BCB,IPCA anual (SIDRA 1737 / BCB-SGS 433),+,,,pendente
1979,crescimento_pib_per_capita,grievance,,,IBGE,Contas Nacionais (SIDRA 6784),-,,,pendente
1979,urbanizacao,mobilizacao_recursos,,,IBGE,% população urbana (SIDRA 202/6579),+,,,pendente
1979,bonus_demografico_jovem,mobilizacao_recursos,,,IBGE,% pop. 15-24 anos (SIDRA 7358),+,,,pendente
