tipo_de_dado,titulo,citacao_abnt,link,orgao_responsavel,nivel_fonte,cobertura_temporal,forma_de_acesso,ciclos_atendidos,data_consulta,status_verificacao,observacoes
legislativo,API de Dados Abertos da Câmara dos Deputados (v2),"BRASIL. Câmara dos Deputados. Dados Abertos: API v2. Brasília, [s.d.]. Disponível em: https://dadosabertos.camara.leg.br/api/v2. Acesso em: 22 ago. 2026.",https://dadosabertos.camara.leg.br/api/v2,Câmara dos Deputados,1,cobertura sólida a partir dos anos 2000; irregular antes,API REST (JSON),c1;c2;c3;c4,2026-08-22,verificado_fonte_oficial,Automatizado em scripts/extrai_camara_senado.py. Votações nominais frequentemente ausentes para 1983-1992.
legislativo,Diários da Câmara e do Congresso Nacional digitalizados,"BRASIL. Câmara dos Deputados. Diários da Câmara dos Deputados e do Congresso Nacional. Brasília, [s.d.]. Disponível em: https://imagem.camara.gov.br. Acesso em: 22 ago. 2026.",https://imagem.camara.gov.br,Câmara dos Deputados,1,1946-presente,imagem digitalizada (sem API),c1;c2,2026-08-22,verificado_fonte_oficial,FONTE DE NÍVEL 1 PARA C1 E C2. Padrão: dc_20.asp?selCodColecaoCsv={D|J}&txPagina={p}&Datain={dd/mm/aaaa}. Recuperação manual.
legislativo,"Diário da Câmara dos Deputados, 30 set. 1992, p. 22067 — votação do impeachment de Collor","BRASIL. Câmara dos Deputados. Diário da Câmara dos Deputados, Brasília, 30 set. 1992, p. 22067. Disponível em: https://imagem.camara.gov.br/dc_20.asp?selCodColecaoCsv=D&txPagina=22067&Datain=30/09/1992. Acesso em: 22 ago. 2026.",https://imagem.camara.gov.br/dc_20.asp?selCodColecaoCsv=D&txPagina=22067&Datain=30/09/1992,Câmara dos Deputados,1,29 set. 1992,imagem digitalizada,c2,2026-08-22,pendente,"Documento primário do placar 441x38x1, hoje sustentado em nível 2 (EV-C2-T1-001). Resolve a divergência com o placar '441 a 33'."
legislativo,"Diário do Congresso Nacional, 30 dez. 1992, p. 4811 — abertura do julgamento de Collor","BRASIL. Congresso Nacional. Diário do Congresso Nacional, Brasília, 30 dez. 1992, p. 4811. Disponível em: https://imagem.camara.gov.br/dc_20.asp?selCodColecaoCsv=J&txPagina=4811&Datain=30/12/1992. Acesso em: 22 ago. 2026.",https://imagem.camara.gov.br/dc_20.asp?selCodColecaoCsv=J&txPagina=4811&Datain=30/12/1992,Congresso Nacional,1,29 dez. 1992,imagem digitalizada,c2,2026-08-22,pendente,Documento primário da renúncia e do prosseguimento do julgamento (EV-C2-T1-002).
legislativo,Escrevendo a História: 20 anos do impeachment de Collor,"BRASIL. Câmara dos Deputados. Escrevendo a História: 20 anos do impeachment do Collor. Brasília, 2012. Disponível em: https://www2.camara.leg.br/atividade-legislativa/plenario/discursos/escrevendohistoria/destaque-de-materias/20-anos-do-impeachment. Acesso em: 22 ago. 2026.",https://www2.camara.leg.br/atividade-legislativa/plenario/discursos/escrevendohistoria/destaque-de-materias/20-anos-do-impeachment,Câmara dos Deputados,2,1992,busca web,c2,2026-08-22,verificado_fonte_oficial,Fonte de EV-C2-T1-001 e EV-C2-T1-002. Indica as páginas exatas dos Diários — usar como mapa para o nível 1.
legislativo,Dados Abertos do Senado Federal,"BRASIL. Senado Federal. Portal de Dados Abertos. Brasília, [s.d.]. Disponível em: https://legis.senado.leg.br/dadosabertos. Acesso em: 22 ago. 2026.",https://legis.senado.leg.br/dadosabertos,Senado Federal,1,varia por série,API REST,c2;c3;c4,2026-08-22,pendente,"Matérias, tramitação e votações."
legislativo,Diários do Senado Federal,"BRASIL. Senado Federal. Diários do Senado Federal. Brasília, [s.d.]. Disponível em: https://www25.senado.leg.br/web/atividade/diarios. Acesso em: 22 ago. 2026.",https://www25.senado.leg.br/web/atividade/diarios,Senado Federal,1,1823-presente,busca web / PDF,c2;c4,2026-08-22,pendente,NECESSÁRIO para resolver a divergência 61x20 / 61x21 no julgamento de 31/08/2016 (EV-C4-T1-001).
legislativo,Impeachment de Dilma Rousseff marca ano de 2016 no Congresso e no Brasil,"BRASIL. Senado Federal. Impeachment de Dilma Rousseff marca ano de 2016 no Congresso e no Brasil. Senado Notícias, Brasília, 28 dez. 2016. Disponível em: https://www12.senado.leg.br/noticias/materias/2016/12/28/impeachment-de-dilma-rousseff-marca-ano-de-2016-no-congresso-e-no-brasil. Acesso em: 22 ago. 2026.",https://www12.senado.leg.br/noticias/materias/2016/12/28/impeachment-de-dilma-rousseff-marca-ano-de-2016-no-congresso-e-no-brasil,Senado Federal,2,2016,busca web,c4,2026-08-22,divergencia_nao_resolvida,Registra 61x20. Outra página do próprio Senado registra 61x21.
legislativo,Assembleia Nacional Constituinte — acervo,"BRASIL. Câmara dos Deputados. Assembleia Nacional Constituinte: acervo. Brasília, [s.d.]. Disponível em: https://www.camara.leg.br/internet/constituicao20anos/. Acesso em: 22 ago. 2026.",https://www.camara.leg.br/internet/constituicao20anos/,Câmara dos Deputados,1,1987-1988,busca web,c1,2026-08-22,pendente,Elo 2 da cadeia C1->C2 (MI-C1-03). Diários da ANC.
legislativo,Repercussões das manifestações de junho de 2013 na Câmara dos Deputados — votação da PEC 37,"BRASIL. Câmara dos Deputados. Repercussões das manifestações de junho de 2013 na Câmara dos Deputados. Brasília: Biblioteca Digital da Câmara dos Deputados, [s.d.]. Disponível em: https://bd.camara.leg.br/bd/bitstreams/5dc89dee-026b-4551-a493-6d20f67b34ac/download. Acesso em: 22 ago. 2026.",https://bd.camara.leg.br/bd/bitstreams/5dc89dee-026b-4551-a493-6d20f67b34ac/download,Câmara dos Deputados,2,2013,download (PDF),c3,2026-08-22,verificado_fonte_oficial,"Fonte de EV-C3-T1-001 (PEC 37 rejeitada em 25/06/2013: 9 favoráveis, 430 contrários). Elevar a nível 1 recuperando a votação nominal na API de dados abertos."
